GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ArraysAvanzado,ies.puerto,Ejercicio2,65,18,7,1,14,6,8,2,4,2
ArraysAvanzado,ies.puerto,Ejercicio1,72,165,0,12,17,43,1,22,1,16
