GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Marvel,ies.puerto.config,AppConfig,33,0,0,0,10,0,2,0,2,0
Marvel,ies.puerto.exception,UsuarioException,9,0,0,0,4,0,2,0,2,0
Marvel,ies.puerto.modelo.db,OperacionesBd,205,0,20,0,66,0,19,0,9,0
Marvel,ies.puerto.modelo.db,Conexion,39,0,0,0,14,0,3,0,3,0
Marvel,ies.puerto.modelo.entity,Personaje,72,0,0,0,32,0,14,0,14,0
Marvel,ies.puerto.modelo.entity,Usuario,15,0,0,0,6,0,3,0,3,0
Marvel,ies.puerto.modelo.entity,Poderes,47,0,0,0,21,0,9,0,9,0
