GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Marvel,ies.puerto.negocio,Negocio,46,134,4,12,8,28,5,12,1,8
Marvel,ies.puerto.modelo.entity,Personaje,20,101,2,6,10,28,6,12,4,10
Marvel,ies.puerto.modelo.entity,PersonajeList,4,12,0,0,2,6,1,3,1,3
Marvel,ies.puerto.modelo.file,FileXml,8,66,1,1,5,15,1,5,0,5
Marvel,ies.puerto.modelo.file,FileCsv,11,138,5,9,6,27,5,8,0,6
Marvel,ies.puerto.modelo.file,FileJson,8,58,0,0,5,12,0,5,0,5
Marvel,ies.puerto.modelo.file,FileJson.new TypeToken() {...},0,6,0,0,0,1,0,1,0,1
Marvel,ies.puerto.modelo.file.abstrac,Fichero,8,44,4,4,4,10,4,3,0,3
